State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.54184	2.55676	2.54930	2.53251	2.53997	2.52692	2.48589	2.44673	2.38892	2.29567	2.21735	2.19124	2.17073	2.14462	2.10359	2.07375	2.06629	2.02527	2.01781	2.00289	1.99729
2	0.89070	0.89156	0.89171	0.89330	0.89604	0.89820	0.90289	0.90866	0.91732	0.93211	0.94871	0.95859	0.97201	0.98255	0.99690	1.01198	1.02800	1.03991	1.05066	1.06292	1.07302
3	0.28720	0.28687	0.28676	0.28676	0.28687	0.28731	0.28765	0.28743	0.28776	0.28743	0.28798	0.28832	0.28876	0.28876	0.28865	0.28876	0.28921	0.29021	0.29088	0.29133	0.29155
4	1.67906	1.59808	1.59808	1.64667	1.60888	1.73305	1.91662	1.87882	1.95981	1.89502	1.92202	2.17037	2.11098	2.04619	2.12717	2.09478	1.98680	2.07319	2.10018	1.98140	1.90582
5	0.82019	0.86239	0.87891	0.88992	0.90276	0.94680	0.92294	0.95597	0.94313	0.91377	0.77615	0.75597	0.77799	0.82386	0.83854	0.83487	0.83120	0.83304	0.80184	0.79083	0.80368
6	2.10257	2.05019	2.07876	2.06447	1.99066	2.01447	2.06209	2.11924	2.25497	2.30973	2.39546	2.49070	2.43594	2.43594	2.36212	2.25973	2.25259	2.26211	2.31688	2.38117	2.41450
7	3.57675	3.52726	3.40578	3.26631	3.21232	3.05486	2.87040	2.64094	2.54197	2.29902	2.13255	2.02907	2.01558	2.04257	2.18654	2.33501	2.32151	2.30801	2.29002	2.25403	2.18654
8	0.95840	0.92977	0.90352	0.88602	0.86773	0.84307	0.84943	0.81921	0.77547	0.74206	0.70866	0.69355	0.67684	0.66094	0.64503	0.64423	0.64901	0.67207	0.68718	0.70389	0.71661
9	4.64097	4.80215	4.89696	4.90644	4.98703	5.11976	5.19561	5.38049	5.36153	5.16243	5.01073	5.11028	4.93488	4.85429	4.76422	4.53194	4.41816	4.25225	4.19536	4.06737	3.88249
10	3.22006	3.22425	3.23345	3.24559	3.24810	3.22885	3.19955	3.18198	3.15017	3.14640	3.12631	3.05098	3.01080	2.96309	2.89571	2.84298	2.76932	2.70068	2.63163	2.56843	2.52323
