State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.75748	3.99778	4.20845	4.53597	4.83716	5.09885	5.37206	5.63869	5.78517	5.92342	6.06332	6.27399	6.34805	6.27070	6.21639	6.06497	5.87734	5.59096	5.31117	5.01656	4.74006
2	1.12682	1.10033	1.06913	1.01749	0.95152	0.86441	0.75533	0.63632	0.53838	0.47757	0.45675	0.45306	0.47433	0.50572	0.54348	0.58423	0.61709	0.64765	0.67242	0.69547	0.71388
3	0.21324	0.21147	0.21039	0.20823	0.20754	0.20518	0.20380	0.20262	0.20144	0.20036	0.20045	0.20065	0.20045	0.20124	0.20173	0.20203	0.20341	0.20419	0.20498	0.20636	0.20813
4	2.10605	2.22993	2.02981	1.92022	1.88210	1.96310	1.95357	1.72963	2.03457	2.85889	2.43958	1.25315	1.01490	1.10544	0.96726	1.09114	1.21026	1.35797	1.35797	1.32938	1.30079
5	1.88819	2.05174	2.42096	2.95697	3.54480	4.26056	4.74638	4.86945	4.36097	4.04843	3.62577	3.16263	2.80637	2.47116	2.23149	1.94810	1.64528	1.38942	1.21939	1.03640	0.94409
6	3.08920	3.44435	3.88147	4.65902	5.89050	7.79235	10.85213	14.98788	19.48088	22.08254	21.82195	16.76365	12.32739	9.01122	6.63443	4.83765	3.74487	2.91057	2.36629	2.06367	1.85352
7	5.48345	6.48008	7.81024	9.52158	11.79279	13.74237	14.94944	15.34254	14.81047	13.82178	16.64093	28.05254	35.63248	39.65077	40.19871	36.76411	31.02258	25.00309	20.03186	16.04534	13.01574
8	1.85592	1.78783	1.64464	1.47336	1.19119	0.93007	0.71948	0.59735	0.51873	0.49557	0.50820	0.50118	0.53838	0.66895	0.97008	1.69728	2.62454	3.47318	4.08106	4.46151	4.68963
9	2.23830	2.04167	1.82829	1.58145	1.32625	1.20492	1.08359	1.06267	1.07104	1.13798	1.25931	1.35972	1.37227	1.43921	1.51451	1.73625	2.25085	3.03740	3.89088	4.81130	5.60621
10	0.96773	0.92525	0.88794	0.82441	0.75423	0.67261	0.61055	0.53742	0.46983	0.44397	0.42809	0.42144	0.43585	0.47204	0.53040	0.61499	0.71397	0.83549	0.95332	1.06708	1.16755
