State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	1.87498	13.76269	2.83465	1.08578	2.21758	6.06351	5.56155	0.73090
2	48.46290	0.25732	0.80790	0.94043	0.94881	0.45676	0.76537	0.99606
3	31.37442	0.07340	0.21741	0.56394	0.28801	0.20046	0.22200	1.42214
4	0.64765	2.65380	1.61527	1.00063	1.92222	2.43966	1.75411	0.78543
5	1.90564	2.95775	1.01020	0.79426	0.77624	3.62588	2.83054	0.74908
6	1.46845	18.61806	3.28217	1.16060	2.39571	21.82263	7.97079	0.37035
7	0.77719	23.20673	4.77661	2.14169	2.13278	16.63748	16.85840	0.15065
8	4.39633	0.48734	1.03376	2.24397	0.70873	0.50822	1.54470	0.16774
9	0.73760	0.50153	5.11995	2.17697	5.00651	1.25934	1.82791	0.08472
10	8.35482	0.50010	3.45740	2.11777	3.12580	0.42810	0.72280	0.28026
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
