State (Emission order)	H3k36me3.bam	H4k20me1.bam	Pol2b.bam	H3k9me1.bam	H3k79me2.bam	H3k9ac.bam	H3k27ac.bam	H2az.bam	Ctcf.bam	H3k27me3.bam
1	1.826059154240587E-4	0.0033147063938742337	0.005372756440559825	0.002123072915649442	0.0010557577658267673	0.006329598686232859	8.572076038080967E-5	0.034215668693008204	0.013959448789901066	0.5374990313362924
2	8.172039132321362E-4	0.0011679542143752753	0.002152975597231039	0.0016443087816503206	1.5079833391521875E-4	2.675768074016122E-4	4.791582583696543E-5	0.0044055793905831775	0.0010661991737610785	0.010964889499001295
3	7.861733191800005E-4	8.570872913708803E-4	8.892951513723331E-4	7.207268514417654E-4	7.716314543386537E-4	7.504686953857944E-4	7.42180917130111E-4	9.201272142835052E-4	0.0010315387300756653	9.198636785948095E-4
4	0.010302355931073742	0.015854838465895752	0.028688135181787398	0.0070391229854752276	0.003561746702616418	0.014562151318617482	0.004374937404592007	0.1466437577261048	0.9218273526615729	0.01880985512924327
5	0.0024113140448829887	5.572824952066088E-4	0.01607064085286935	0.008798971166264961	0.0030839744701369118	0.01594738416759255	0.03172111134837208	0.592268015469958	0.011838746839141732	0.0070858419743259566
6	0.02158061856288041	0.0024280237101544457	0.22091095434339766	0.014269963871865729	0.019266843912943362	0.47127685102251426	0.7999780567120762	0.5667987416640067	0.09826108753673778	0.005063963710244113
7	0.10839449125593234	0.06358590608383007	0.36023544759275994	0.11473351648890953	0.9469390365158994	0.7827903596366448	0.8787407802662726	0.4285497000084738	0.09237376597337554	0.0038167970896641873
8	0.09389964408175226	0.04143791612023854	0.022271519258529614	0.02033023526285243	0.8030966549517147	0.0033869626365252577	0.014003590835543075	0.009300533335623098	0.011226331726338752	7.311914401022916E-4
9	0.6095545625631694	0.2627713529632687	0.4763454550152901	0.08141599599713846	0.7930501785146442	0.026704644891583855	0.10230273881556998	0.005711358263328645	0.048666870912339094	0.0030807268323758625
10	0.14131361296341988	0.006901314365158725	0.024853599801412787	0.007187568865835319	0.04648055860312517	0.0010146785324397739	0.002813631406144902	0.0015344868444204247	0.007256611602112786	2.802364663049111E-4
