State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9175765550109203	0.07575340140513104	7.571012921119755E-4	0.0041636746924510965	0.0010183943197520386	6.506582465240207E-4	3.6388025039601114E-5	4.192712301598394E-5	0.0	1.8998850538252266E-6
2	0.0034745417376196284	0.974614871587149	4.1884219195024633E-4	0.005328610261621918	0.013810576001055088	0.0012701402989237483	0.0	0.0	0.0	0.001082417921680429
3	2.8469787127374293E-6	3.1361794020979426E-5	0.9999214431421255	2.7395373309443932E-5	1.4453267713990067E-5	0.0	0.0	0.0	0.0	2.4994441173585147E-6
4	0.013955556753269972	0.3601461583428806	0.022420249800006762	0.5244128013308685	0.04132445843708572	0.012908022583457473	5.890197001985572E-4	4.548472501511869E-4	3.017892826233855E-4	0.023487096519457837
5	0.0	0.2622186260495739	0.0035338073871081692	0.011440809819588905	0.686901607947301	0.03443272727624112	4.27724721440202E-4	4.4604313358562967E-4	0.0	5.986536651609383E-4
6	0.0013276974026873837	0.04303522733067231	1.0072587394533295E-6	0.006720820473039711	0.062458174828751156	0.8198202640448627	0.03579595126629774	0.00344126564677953	0.0012112388553628724	0.026188352892807226
7	7.700208082906746E-5	0.0	0.0	3.6733760196508745E-4	0.0010413591648887322	0.05855323029285745	0.8624791548896524	0.06493522896521671	0.011263201233200324	0.0012834857713901636
8	2.7993714561869762E-5	0.0	0.0	9.281440449804031E-5	2.4367103962793824E-4	0.001340899102207296	0.015051435520755422	0.9428183487706502	0.014723543688488409	0.025701293759210913
9	1.6355473224723684E-5	0.0	0.0	4.790519309718319E-4	0.0	0.0016432599894465624	0.010727378711123225	0.05955945612843286	0.8797677598219308	0.04780673794486994
10	6.963995575420339E-8	0.007444021922506423	2.0982606971987032E-4	0.0021774197854110204	2.1387691038773668E-4	0.00514363241199369	1.5419575394390366E-4	0.012642428163085627	0.0060143266852071674	0.9660002026577887
